,Feature,Value,Elapsed_Time,Train_Score,Test_Score
0,Population_Size,1,12.598271369934082,0.9468713105076741,0.9433962264150944
1,Population_Size,2,22.50512933731079,1.0,0.9952830188679245
2,Population_Size,4,24.046730518341064,0.9988193624557261,0.9858490566037735
3,Population_Size,8,60.11246728897095,1.0,0.9905660377358491
4,Population_Size,16,111.75268745422363,0.9988193624557261,0.9905660377358491
5,Population_Size,32,234.73599886894226,1.0,0.9952830188679245
6,Population_Size,64,764.5647869110107,1.0,0.9905660377358491
7,Population_Size,128,640.2225155830383,0.9976387249114522,0.9905660377358491
8,Offspring_Size,1,374.21896481513977,1.0,0.9952830188679245
9,Offspring_Size,2,286.59130239486694,0.9976387249114522,0.9858490566037735
10,Offspring_Size,4,496.3878607749939,1.0,0.9905660377358491
11,Offspring_Size,8,406.5375521183014,1.0,0.9952830188679245
12,Offspring_Size,16,501.46805691719055,1.0,0.9952830188679245
13,Offspring_Size,32,556.1694829463959,1.0,0.9905660377358491
14,Offspring_Size,64,684.9705884456635,0.9988193624557261,0.9905660377358491
15,Offspring_Size,128,766.3885135650635,0.9988193624557261,0.9905660377358491
16,Mutation_Crossover_Rates,"0.1,0.9",622.9921267032623,1.0,0.9905660377358491
17,Mutation_Crossover_Rates,"0.2,0.8",705.3790125846863,1.0,0.9905660377358491
18,Mutation_Crossover_Rates,"0.3,0.7",684.9231581687927,0.9988193624557261,0.9905660377358491
19,Mutation_Crossover_Rates,"0.4,0.6",634.1900825500488,1.0,0.9952830188679245
20,Mutation_Crossover_Rates,"0.5,0.5",625.8980422019958,1.0,0.9952830188679245
21,Mutation_Crossover_Rates,"0.6,0.4",623.3965559005737,1.0,0.9905660377358491
22,Mutation_Crossover_Rates,"0.7,0.3",763.0175383090973,1.0,0.9952830188679245
23,Mutation_Crossover_Rates,"0.8,0.2",667.7236378192902,1.0,0.9858490566037735
24,Mutation_Crossover_Rates,"0.9,0.1",665.1373977661133,1.0,0.9905660377358491
